,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(In millions, except percentages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax expense computed at federal statutory rate,$,"17,645",,,21.0,%,,$,"7,102",,,21.0,%,,$,878,,,21.0,%,,,,,,,,,,,,,,,
Expense (benefit) resulting from:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State income taxes, net of federal tax effect",554,,,0.7,%,,120,,,0.4,%,,50,,,1.2,%,,,,,,,,,,,,,,,,,,
Foreign-derived intangible income,"(2,976)",,,(3.5),%,,"(1,408)",,,(4.2),%,,(739),,,(17.7),%,,,,,,,,,,,,,,,,,,
Stock-based compensation,"(2,097)",,,(2.5),%,,(741),,,(2.2),%,,(309),,,(7.4),%,,,,,,,,,,,,,,,,,,
U.S. federal research and development tax credit,(990),,,(1.2),%,,(431),,,(1.3),%,,(278),,,(6.6),%,,,,,,,,,,,,,,,,,,
Foreign tax rate differential,(984),,,(1.2),%,,(467),,,(1.4),%,,(83),,,(2.0),%,,,,,,,,,,,,,,,,,,
Acquisition termination cost,—,,,—,%,,—,,,—,%,,261,,,6.2,%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,(6),,,—,%,,(117),,,(0.3),%,,33,,,0.8,%,,,,,,,,,,,,,,,,,,
Income tax expense (benefit),$,"11,146",,,13.3,%,,$,"4,058",,,12.0,%,,$,(187),,,(4.5),%,,,,,,,,,,,,,,,
